model,brandid,imagefilename
Ram 1500 Club,53,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Skylark,45,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Corvette,22,http://dummyimage.com/500x500.png/ff4444/ffffff
TL,35,http://dummyimage.com/500x500.png/cc0000/ffffff
62,100,http://dummyimage.com/500x500.png/ff4444/ffffff
Compass,62,http://dummyimage.com/500x500.png/cc0000/ffffff
Esteem,26,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Passport,59,http://dummyimage.com/500x500.png/dddddd/000000
Miata MX-5,88,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Grand Prix,3,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Phantom,58,http://dummyimage.com/500x500.png/dddddd/000000
CLK-Class,11,http://dummyimage.com/500x500.png/ff4444/ffffff
Leaf,97,http://dummyimage.com/500x500.png/dddddd/000000
Grand Prix,36,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Patriot,59,http://dummyimage.com/500x500.png/cc0000/ffffff
W126,6,http://dummyimage.com/500x500.png/dddddd/000000
3500,41,http://dummyimage.com/500x500.png/dddddd/000000
XL-7,79,http://dummyimage.com/500x500.png/dddddd/000000
3500,45,http://dummyimage.com/500x500.png/cc0000/ffffff
Intrepid,73,http://dummyimage.com/500x500.png/dddddd/000000
Legacy,82,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Optima,10,http://dummyimage.com/500x500.png/ff4444/ffffff
Astro,10,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Venza,83,http://dummyimage.com/500x500.png/ff4444/ffffff
Grand Am,70,http://dummyimage.com/500x500.png/ff4444/ffffff
LeSabre,11,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Voyager,94,http://dummyimage.com/500x500.png/dddddd/000000
Bronco II,57,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Thunderbird,22,http://dummyimage.com/500x500.png/ff4444/ffffff
Typ-1,10,http://dummyimage.com/500x500.png/dddddd/000000
Fleetwood,4,http://dummyimage.com/500x500.png/5fa2dd/ffffff
XT,73,http://dummyimage.com/500x500.png/5fa2dd/ffffff
MDX,99,http://dummyimage.com/500x500.png/dddddd/000000
Mazda3,70,http://dummyimage.com/500x500.png/ff4444/ffffff
Talon,40,http://dummyimage.com/500x500.png/ff4444/ffffff
90,82,http://dummyimage.com/500x500.png/dddddd/000000
QX,46,http://dummyimage.com/500x500.png/ff4444/ffffff
Silverado 3500,44,http://dummyimage.com/500x500.png/ff4444/ffffff
Avalon,44,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Trooper,35,http://dummyimage.com/500x500.png/ff4444/ffffff
S-Class,82,http://dummyimage.com/500x500.png/ff4444/ffffff
riolet,87,http://dummyimage.com/500x500.png/dddddd/000000
Coupe,75,http://dummyimage.com/500x500.png/cc0000/ffffff
XL-7,20,http://dummyimage.com/500x500.png/dddddd/000000
Corvette,66,http://dummyimage.com/500x500.png/5fa2dd/ffffff
5 Series,44,http://dummyimage.com/500x500.png/cc0000/ffffff
Tiguan,4,http://dummyimage.com/500x500.png/cc0000/ffffff
Mighty Max,7,http://dummyimage.com/500x500.png/ff4444/ffffff
Mustang,29,http://dummyimage.com/500x500.png/cc0000/ffffff
Ranger,38,http://dummyimage.com/500x500.png/5fa2dd/ffffff
V50,53,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Tundra,97,http://dummyimage.com/500x500.png/dddddd/000000
Continental,3,http://dummyimage.com/500x500.png/5fa2dd/ffffff
G-Series 2500,41,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Aerostar,25,http://dummyimage.com/500x500.png/cc0000/ffffff
Pajero,68,http://dummyimage.com/500x500.png/dddddd/000000
LeBaron,87,http://dummyimage.com/500x500.png/cc0000/ffffff
Fleetwood,32,http://dummyimage.com/500x500.png/dddddd/000000
Montero,19,http://dummyimage.com/500x500.png/5fa2dd/ffffff
TT,39,http://dummyimage.com/500x500.png/dddddd/000000
Caliber,68,http://dummyimage.com/500x500.png/cc0000/ffffff
A5,14,http://dummyimage.com/500x500.png/ff4444/ffffff
S40,7,http://dummyimage.com/500x500.png/dddddd/000000
Metro,45,http://dummyimage.com/500x500.png/dddddd/000000
Aveo,2,http://dummyimage.com/500x500.png/ff4444/ffffff
Sunfire,95,http://dummyimage.com/500x500.png/ff4444/ffffff
Rocky,50,http://dummyimage.com/500x500.png/dddddd/000000
Camaro,1,http://dummyimage.com/500x500.png/dddddd/000000
Fifth Ave,69,http://dummyimage.com/500x500.png/dddddd/000000
Esteem,74,http://dummyimage.com/500x500.png/cc0000/ffffff
Milan,21,http://dummyimage.com/500x500.png/ff4444/ffffff
Econoline E350,14,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Silhouette,80,http://dummyimage.com/500x500.png/5fa2dd/ffffff
MR2,37,http://dummyimage.com/500x500.png/dddddd/000000
B-Series Plus,61,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Countach,17,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Tracker,50,http://dummyimage.com/500x500.png/ff4444/ffffff
EXP,44,http://dummyimage.com/500x500.png/ff4444/ffffff
Crown Victoria,48,http://dummyimage.com/500x500.png/5fa2dd/ffffff
A3,3,http://dummyimage.com/500x500.png/dddddd/000000
I,78,http://dummyimage.com/500x500.png/dddddd/000000
Transit Connect,31,http://dummyimage.com/500x500.png/ff4444/ffffff
Wrangler,80,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Cube,22,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Evora,43,http://dummyimage.com/500x500.png/cc0000/ffffff
Galant,14,http://dummyimage.com/500x500.png/cc0000/ffffff
4Runner,9,http://dummyimage.com/500x500.png/5fa2dd/ffffff
RDX,51,http://dummyimage.com/500x500.png/dddddd/000000
Previa,100,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Countach,71,http://dummyimage.com/500x500.png/ff4444/ffffff
Escape,6,http://dummyimage.com/500x500.png/cc0000/ffffff
CR-Z,35,http://dummyimage.com/500x500.png/dddddd/000000
LS,93,http://dummyimage.com/500x500.png/cc0000/ffffff
GL-Class,46,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Equinox,18,http://dummyimage.com/500x500.png/dddddd/000000
X5,68,http://dummyimage.com/500x500.png/cc0000/ffffff
Blazer,34,http://dummyimage.com/500x500.png/dddddd/000000
Corvette,18,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Protege,22,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Diamante,68,http://dummyimage.com/500x500.png/5fa2dd/ffffff
